game_id,season,game_date,home_team,away_team,venue,capacity,attendance,min_ticket_price,home_score,away_score
24,2000,2000-06-10,New York Liberty,Dallas Wings,Barclays Center,17000,4506.0,37.92,69,56
25,2000,2000-06-09,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,12000,7619.0,60.02,52,71
26,2000,2000-06-13,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,20000,10185.0,60.4,54,68
27,2000,2000-06-14,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,12000,4691.0,42.83,70,79
28,2000,2000-06-15,Dallas Wings,Connecticut Sun,College Park Center,7000,1647.0,44.79,84,64
29,2000,2000-06-16,Connecticut Sun,Golden State Valkyries,Mohegan Sun Arena,10000,5753.0,45.38,90,67
30,2000,2000-06-17,Golden State Valkyries,Connecticut Sun,Chase Center,18000,7746.0,43.1,64,100
31,2000,2000-06-16,Phoenix Mercury,Golden State Valkyries,Footprint Center,14000,5805.0,37.76,77,69
32,2000,2000-06-17,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,12000,6179.0,53.76,74,65
33,2000,2000-06-19,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,20000,8594.0,47.77,82,71
34,2000,2000-06-21,Phoenix Mercury,Indiana Fever,Footprint Center,14000,7527.0,45.38,67,83
35,2000,2000-06-20,Minnesota Lynx,Indiana Fever,Target Center,18000,6524.0,40.51,61,88
36,2000,2000-06-22,Dallas Wings,Atlanta Dream,College Park Center,7000,3000.0,50.99,68,80
37,2000,2000-06-22,Minnesota Lynx,Indiana Fever,Target Center,18000,6463.0,39.73,76,74
38,2000,2000-06-25,Golden State Valkyries,Las Vegas Aces,Chase Center,18000,9900.0,51.4,62,90
39,2000,2000-06-26,Golden State Valkyries,Minnesota Lynx,Chase Center,18000,5842.0,26.39,74,75
40,2000,2000-06-26,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000,6923.0,30.03,87,67
41,2000,2000-06-28,Phoenix Mercury,Washington Mystics,Footprint Center,14000,6103.0,46.93,72,62
42,2000,2000-06-30,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,20000,9159.0,40.04,72,69
43,2000,2000-06-29,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,12000,5383.0,42.64,88,75
44,2000,2000-06-30,Seattle Storm,Dallas Wings,Climate Pledge Arena,18000,8989.0,41.79,78,75
45,2000,2000-07-01,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,19000,11020.0,61.04,77,91
46,2000,2000-07-04,Seattle Storm,New York Liberty,Climate Pledge Arena,18000,6888.0,41.77,70,75
47,2000,2000-07-03,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,12000,6522.0,57.6,66,83
48,2000,2000-07-05,Dallas Wings,Golden State Valkyries,College Park Center,7000,,48.55,58,74
49,2000,2000-07-06,Chicago Sky,Connecticut Sun,Wintrust Arena,10000,4522.0,48.89,72,84
50,2000,2000-07-06,Golden State Valkyries,Atlanta Dream,Chase Center,18000,4076.0,49.54,82,71
51,2000,2000-07-10,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,20000,10271.0,53.94,82,74
52,2000,2000-07-11,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,12000,8017.0,60.85,63,62
53,2000,2000-07-11,New York Liberty,Golden State Valkyries,Barclays Center,17000,3900.0,35.19,79,71
54,2000,2000-07-12,New York Liberty,Los Angeles Sparks,Barclays Center,17000,10696.0,58.34,75,67
55,2000,2000-07-12,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,10000,5023.0,37.72,69,72
56,2000,2000-07-14,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,0,5423.0,44.22,49,70
57,2000,2000-07-16,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,12000,4004.0,36.99,85,69
58,2000,2000-07-15,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,12000,9275.0,64.75,80,57
59,2000,2000-07-17,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,19000,7952.0,60.14,77,77
60,2000,2000-07-17,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,20000,7240.0,55.74,79,80
61,2000,2000-07-19,New York Liberty,Minnesota Lynx,Barclays Center,17000,7174.0,29.79,77,61
62,2000,2000-07-21,Chicago Sky,Seattle Storm,Wintrust Arena,10000,3603.0,51.9,65,68
63,2000,2000-07-21,New York Liberty,Golden State Valkyries,Barclays Center,17000,5664.0,38.67,97,59
64,2000,2000-07-22,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,12000,3983.0,49.36,86,65
65,2000,2000-07-25,Minnesota Lynx,Dallas Wings,Target Center,18000,4015.0,45.86,51,86
66,2000,2000-07-24,Dallas Wings,Phoenix Mercury,College Park Center,7000,3943.0,56.47,73,89
67,2000,2000-07-26,Phoenix Mercury,Golden State Valkyries,Footprint Center,14000,3648.0,40.61,79,69
68,2000,2000-07-28,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,18000,6551.0,51.87,64,93
69,2000,2000-07-28,Minnesota Lynx,Phoenix Mercury,Target Center,18000,6835.0,47.04,83,67
70,2000,2000-07-29,Atlanta Dream,Dallas Wings,Gateway Center Arena,8500,4917.0,56.61,56,103
71,2000,2000-07-29,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000,5077.0,45.68,76,60
72,2000,2000-07-30,Phoenix Mercury,Golden State Valkyries,Footprint Center,14000,8336.0,-1.0,70,86
73,2000,2000-08-02,New York Liberty,Washington Mystics,Barclays Center,17000,8934.0,42.02,69,70
74,2000,2000-08-03,Seattle Storm,Chicago Sky,Climate Pledge Arena,18000,10298.0,53.56,75,89
75,2000,2000-08-02,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,10000,4775.0,37.29,70,72
76,2000,2000-08-04,Dallas Wings,New York Liberty,College Park Center,7000,2797.0,53.31,82,91
77,2000,2000-08-05,Minnesota Lynx,Washington Mystics,Target Center,18000,8397.0,55.9,67,83
78,2000,2000-08-06,Phoenix Mercury,Los Angeles Sparks,Footprint Center,14000,6710.0,48.82,84,86
79,2000,2000-08-09,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,20000,,63.61,75,63
80,2000,2000-08-10,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,20000,10668.0,40.79,85,69
81,2000,2000-08-11,Phoenix Mercury,Atlanta Dream,Footprint Center,14000,6384.0,52.82,88,74
82,2000,2000-08-10,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,20000,10998.0,54.09,94,70
83,2000,2000-08-12,Phoenix Mercury,New York Liberty,Footprint Center,14000,7065.0,61.17,68,86
84,2000,2000-08-13,New York Liberty,Seattle Storm,Barclays Center,17000,9503.0,57.09,90,78
85,2000,2000-08-14,New York Liberty,Seattle Storm,Barclays Center,17000,10787.0,51.01,74,79
86,2000,2000-08-14,Golden State Valkyries,Connecticut Sun,Chase Center,18000,3349.0,37.93,74,78
87,2000,2000-08-16,Atlanta Dream,Seattle Storm,Gateway Center Arena,8500,5249.0,53.32,77,75
88,2000,2000-08-18,Golden State Valkyries,Indiana Fever,Chase Center,18000,7925.0,-1.0,87,57
89,2000,2000-08-20,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,19000,8567.0,47.98,77,70
90,2000,2000-08-21,Seattle Storm,Indiana Fever,Climate Pledge Arena,18000,,48.68,86,75
91,2000,2000-08-22,Phoenix Mercury,Minnesota Lynx,Footprint Center,14000,4484.0,42.74,91,77
92,2000,2000-08-23,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,20000,,37.45,83,73
93,2000,2000-08-23,Washington Mystics,Dallas Wings,Entertainment & Sports Arena,4200,1187.0,51.4,76,73
94,2000,2000-08-25,Seattle Storm,New York Liberty,Climate Pledge Arena,18000,,43.68,68,60
95,2000,2000-08-26,New York Liberty,Seattle Storm,Barclays Center,17000,,46.22,80,77
96,2000,2000-08-25,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,12000,6426.0,43.36,87,63
97,2000,2000-08-28,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,19000,7422.0,48.1,66,89
98,2000,2000-08-28,Dallas Wings,Las Vegas Aces,College Park Center,7000,2786.0,53.74,83,75
99,2000,2000-08-30,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,12000,8035.0,49.63,63,88
100,2000,2000-08-29,New York Liberty,Atlanta Dream,Barclays Center,17000,9385.0,46.25,80,73
101,2000,2000-09-01,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,20000,,59.74,76,50
102,2000,2000-09-03,Atlanta Dream,Connecticut Sun,Gateway Center Arena,8500,3231.0,30.38,62,77
103,2000,2000-09-02,Golden State Valkyries,Seattle Storm,Chase Center,18000,9792.0,50.71,83,74
104,2000,2000-09-03,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,19000,8599.0,45.59,86,78
105,2000,2000-09-04,Washington Mystics,Chicago Sky,Entertainment & Sports Arena,4200,,47.52,69,73
106,2000,2000-09-07,Phoenix Mercury,Indiana Fever,Footprint Center,14000,5688.0,44.81,71,83
107,2000,2000-09-07,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,10000,5629.0,48.71,74,68
108,2000,2000-09-09,Seattle Storm,Washington Mystics,Climate Pledge Arena,18000,7698.0,54.68,101,63
109,2000,2000-09-09,Washington Mystics,Phoenix Mercury,Entertainment & Sports Arena,4200,2250.0,46.02,81,68
110,2000,2000-09-11,Seattle Storm,Golden State Valkyries,Climate Pledge Arena,18000,6281.0,44.98,72,76
111,2000,2000-09-10,Dallas Wings,Las Vegas Aces,College Park Center,7000,3069.0,47.91,77,63
112,2000,2000-09-13,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,20000,,36.96,70,75
113,2000,2000-09-13,Atlanta Dream,Connecticut Sun,Gateway Center Arena,8500,3774.0,37.93,71,53
114,2000,2000-09-15,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000,3968.0,46.48,60,80
115,2000,2000-09-17,Washington Mystics,Connecticut Sun,Entertainment & Sports Arena,4200,2196.0,38.57,89,75
116,2000,2000-09-17,Minnesota Lynx,Phoenix Mercury,Target Center,18000,9211.0,43.85,75,60
117,2000,2000-09-19,Minnesota Lynx,Atlanta Dream,Target Center,18000,6196.0,40.55,59,79
118,2000,2000-09-20,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,20000,9471.0,46.45,67,64
119,2000,2000-09-19,New York Liberty,Washington Mystics,Barclays Center,17000,9318.0,42.84,95,73
120,2000,2000-09-22,Phoenix Mercury,Atlanta Dream,Footprint Center,14000,6841.0,42.02,74,63
121,2000,2000-09-23,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,12000,,37.62,63,71
122,2000,2000-09-23,Minnesota Lynx,Seattle Storm,Target Center,18000,7008.0,55.07,87,84
123,2000,2000-09-23,Dallas Wings,Golden State Valkyries,College Park Center,7000,3958.0,67.45,77,90
124,2000,2000-09-24,Washington Mystics,Phoenix Mercury,Entertainment & Sports Arena,4200,1053.0,35.94,72,83
125,2000,2000-09-26,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,10000,3101.0,40.51,84,90
126,2000,2000-09-29,New York Liberty,Washington Mystics,Barclays Center,17000,6819.0,36.87,76,77
127,2000,2000-09-28,Golden State Valkyries,Indiana Fever,Chase Center,18000,5775.0,33.57,87,79
128,2000,2000-09-30,Washington Mystics,Golden State Valkyries,Entertainment & Sports Arena,4200,1744.0,69.47,68,71
129,2000,2000-10-01,Phoenix Mercury,Connecticut Sun,Footprint Center,14000,7189.0,44.83,86,62
130,2000,2000-10-03,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,20000,5212.0,54.32,79,62
131,2000,2000-10-02,Seattle Storm,Connecticut Sun,Climate Pledge Arena,18000,6205.0,50.74,92,65
132,2000,2000-10-04,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,19000,10550.0,58.08,72,83
133,2000,2000-10-05,Chicago Sky,Phoenix Mercury,Wintrust Arena,10000,2828.0,44.63,71,68
134,2000,2000-10-07,Phoenix Mercury,Indiana Fever,Footprint Center,14000,2577.0,37.23,74,61
135,2000,2000-10-08,Washington Mystics,Phoenix Mercury,Entertainment & Sports Arena,4200,1033.0,52.17,67,72
136,2000,2000-10-07,Seattle Storm,Washington Mystics,Climate Pledge Arena,18000,,41.4,88,73
137,2000,2000-10-10,Las Vegas Aces,Golden State Valkyries,Michelob ULTRA Arena,12000,3016.0,38.0,69,71
138,2000,2000-10-09,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,12000,,59.25,82,65
139,2000,2000-10-13,New York Liberty,Minnesota Lynx,Barclays Center,17000,4891.0,28.2,76,72
140,2000,2000-10-12,Atlanta Dream,Connecticut Sun,Gateway Center Arena,8500,3282.0,44.72,86,62
141,2000,2000-10-14,Dallas Wings,New York Liberty,College Park Center,7000,3741.0,48.54,86,73
142,2000,2000-10-15,Chicago Sky,Washington Mystics,Wintrust Arena,10000,4012.0,-1.0,59,76
143,2000,2000-10-16,Phoenix Mercury,Connecticut Sun,Footprint Center,14000,1627.0,32.34,75,75
144,2000,2000-10-17,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,19000,8397.0,40.67,67,64
145,2000,2000-10-19,Chicago Sky,Indiana Fever,Wintrust Arena,10000,3478.0,51.52,69,87
146,2000,2000-10-20,Golden State Valkyries,Washington Mystics,Chase Center,18000,10466.0,51.12,65,76
147,2000,2000-10-19,Seattle Storm,New York Liberty,Climate Pledge Arena,18000,,53.03,72,85
148,2000,2000-10-20,Golden State Valkyries,Las Vegas Aces,Chase Center,18000,9149.0,46.68,60,91
149,2000,2000-10-21,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,20000,13899.0,61.5,72,72
150,2000,2000-10-24,Minnesota Lynx,Connecticut Sun,Target Center,18000,,33.72,64,66
151,2000,2000-10-26,Seattle Storm,Washington Mystics,Climate Pledge Arena,18000,7006.0,51.02,60,89
152,2000,2000-10-26,New York Liberty,Las Vegas Aces,Barclays Center,17000,12082.0,51.36,67,82
153,2000,2000-10-28,Minnesota Lynx,Phoenix Mercury,Target Center,18000,8935.0,57.92,66,93
154,2000,2000-10-28,Phoenix Mercury,Atlanta Dream,Footprint Center,14000,4924.0,50.78,80,71
155,2000,2000-10-29,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,10000,2296.0,41.84,78,75
156,2000,2000-10-31,Minnesota Lynx,Los Angeles Sparks,Target Center,0,13104.0,66.47,73,74
157,2000,2000-10-30,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,19000,8068.0,40.42,71,70
158,2000,2000-11-01,New York Liberty,Las Vegas Aces,Barclays Center,17000,10587.0,56.71,62,90
159,2000,2000-11-03,Phoenix Mercury,Minnesota Lynx,Footprint Center,14000,6978.0,40.55,79,57
160,2000,2000-11-03,New York Liberty,Chicago Sky,Barclays Center,17000,2636.0,41.37,82,60
161,2000,2000-11-05,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,19000,10685.0,63.34,91,71
162,2000,2000-11-06,Golden State Valkyries,Atlanta Dream,Chase Center,18000,4227.0,44.93,91,76
163,2000,2000-11-07,Minnesota Lynx,Chicago Sky,Target Center,18000,10441.0,44.81,71,77
164,2000,2000-11-09,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,10000,3194.0,41.05,56,85
165,2000,2000-11-09,New York Liberty,Indiana Fever,Barclays Center,17000,5157.0,59.21,86,56
166,2000,2000-11-11,Dallas Wings,Chicago Sky,College Park Center,7000,2722.0,52.84,71,70
167,2000,2000-11-12,Minnesota Lynx,Indiana Fever,Target Center,18000,8511.0,49.23,82,71
168,2000,2000-11-11,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,20000,6656.0,-1.0,84,75
169,2000,2000-11-13,Washington Mystics,Golden State Valkyries,Entertainment & Sports Arena,4200,,31.15,88,74
170,2000,2000-11-13,Seattle Storm,Washington Mystics,Climate Pledge Arena,18000,5738.0,45.57,79,60
171,2000,2000-11-14,Washington Mystics,Dallas Wings,Entertainment & Sports Arena,4200,1513.0,38.71,83,68
172,2000,2000-11-16,Seattle Storm,Indiana Fever,Climate Pledge Arena,18000,8797.0,50.48,69,73
173,2000,2000-11-17,Los Angeles Sparks,New York Liberty,Crypto.com Arena,19000,10223.0,59.81,80,90
174,2000,2000-11-17,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,20000,5306.0,39.24,75,86
175,2000,2000-11-18,Seattle Storm,Dallas Wings,Climate Pledge Arena,18000,8964.0,58.1,71,54
176,2000,2000-11-21,Chicago Sky,New York Liberty,Wintrust Arena,10000,,43.09,87,76
177,2000,2000-11-23,Minnesota Lynx,Los Angeles Sparks,Target Center,18000,3437.0,30.34,75,64
178,2000,2000-11-24,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,19000,9656.0,57.76,71,78
179,2000,2000-11-25,Seattle Storm,New York Liberty,Climate Pledge Arena,18000,12799.0,58.89,74,70
180,2000,2000-11-24,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,12000,6534.0,53.33,92,55
181,2000,2000-11-27,Dallas Wings,Washington Mystics,College Park Center,7000,3494.0,55.45,69,65
182,2000,2000-11-26,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,19000,7533.0,32.9,77,63
183,2000,2000-11-29,Dallas Wings,Indiana Fever,College Park Center,7000,2654.0,44.8,112,55
184,2000,2000-11-30,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,20000,5269.0,48.02,69,78
185,2000,2000-11-30,Washington Mystics,Indiana Fever,Entertainment & Sports Arena,4200,2737.0,38.75,78,66
186,2000,2000-12-02,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,10000,4704.0,72.77,76,77
187,2000,2000-12-03,Phoenix Mercury,Minnesota Lynx,Footprint Center,14000,6489.0,50.23,80,65
188,2000,2000-12-03,Washington Mystics,Chicago Sky,Entertainment & Sports Arena,4200,1245.0,57.18,81,75
189,2000,2000-12-04,Seattle Storm,New York Liberty,Climate Pledge Arena,18000,7889.0,39.45,69,77
190,2000,2000-12-06,Chicago Sky,Los Angeles Sparks,Wintrust Arena,10000,3716.0,58.04,81,78
191,2000,2000-12-06,Chicago Sky,Indiana Fever,Wintrust Arena,10000,4906.0,58.79,75,79
192,2000,2000-12-09,Dallas Wings,Connecticut Sun,College Park Center,7000,2945.0,49.58,73,76
193,2000,2000-12-08,Atlanta Dream,New York Liberty,Gateway Center Arena,8500,4020.0,44.03,69,77
194,2000,2000-12-10,New York Liberty,Golden State Valkyries,Barclays Center,17000,7970.0,52.35,67,69
195,2000,2000-12-11,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,20000,12877.0,49.96,67,83
196,2001,2001-05-16,Chicago Sky,Dallas Wings,Wintrust Arena,10000,5722.0,60.28,77,80
197,2001,2001-05-17,New York Liberty,Las Vegas Aces,Barclays Center,17000,7770.0,46.73,68,96
198,2001,2001-05-19,Seattle Storm,Atlanta Dream,Climate Pledge Arena,18000,8914.0,56.49,100,72
199,2001,2001-05-20,Chicago Sky,New York Liberty,Wintrust Arena,10000,5521.0,51.18,69,72
200,2001,2001-05-20,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,20000,9428.0,46.16,72,65
201,2001,2001-05-22,Atlanta Dream,Washington Mystics,Gateway Center Arena,8500,2894.0,41.7,80,88
202,2001,2001-05-22,Chicago Sky,Los Angeles Sparks,Wintrust Arena,10000,,46.15,84,85
203,2001,2001-05-23,Golden State Valkyries,Minnesota Lynx,Chase Center,18000,8083.0,27.54,58,91
204,2001,2001-05-24,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,19000,9739.0,54.31,85,71
205,2001,2001-05-26,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,12000,,59.79,70,74
206,2001,2001-05-26,New York Liberty,Indiana Fever,Barclays Center,17000,10346.0,51.66,75,91
207,2001,2001-05-28,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,10000,1213.0,47.11,61,93
208,2001,2001-05-28,Minnesota Lynx,Phoenix Mercury,Target Center,18000,,41.58,73,80
209,2001,2001-05-29,Dallas Wings,Washington Mystics,College Park Center,7000,4600.0,56.4,82,68
210,2001,2001-05-30,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,10000,1769.0,40.76,89,77
211,2001,2001-06-02,Washington Mystics,Indiana Fever,Entertainment & Sports Arena,4200,,65.8,77,79
212,2001,2001-06-01,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,12000,3080.0,29.23,69,70
213,2001,2001-06-03,Connecticut Sun,Golden State Valkyries,Mohegan Sun Arena,10000,4118.0,42.07,92,69
214,2001,2001-06-04,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,20000,14600.0,69.41,80,78
215,2001,2001-06-06,New York Liberty,Seattle Storm,Barclays Center,17000,10936.0,48.35,83,68
216,2001,2001-06-05,Washington Mystics,Seattle Storm,Entertainment & Sports Arena,4200,1000.0,47.2,70,60
217,2001,2001-06-08,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,19000,8286.0,35.21,76,79
218,2001,2001-06-08,Connecticut Sun,New York Liberty,Mohegan Sun Arena,10000,4484.0,28.97,90,85
219,2001,2001-06-08,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,12000,6611.0,43.26,71,70
220,2001,2001-06-09,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,18000,,65.54,76,80
221,2001,2001-06-12,New York Liberty,Seattle Storm,Barclays Center,17000,5942.0,52.78,76,69
222,2001,2001-06-14,Washington Mystics,Atlanta Dream,Entertainment & Sports Arena,4200,2068.0,54.21,74,60
223,2001,2001-06-13,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,19000,8813.0,41.42,68,84
224,2001,2001-06-14,Seattle Storm,Chicago Sky,Climate Pledge Arena,18000,4872.0,48.75,71,77
225,2001,2001-06-15,Phoenix Mercury,Atlanta Dream,Footprint Center,14000,,42.8,79,68
226,2001,2001-06-17,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,12000,6824.0,57.29,81,73
227,2001,2001-06-17,Chicago Sky,Phoenix Mercury,Wintrust Arena,10000,7029.0,39.94,86,71
228,2001,2001-06-19,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,18000,8962.0,43.71,86,68
229,2001,2001-06-21,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,10000,4218.0,55.01,73,89
230,2001,2001-06-22,Golden State Valkyries,Indiana Fever,Chase Center,18000,,60.13,60,76
231,2001,2001-06-23,Chicago Sky,Las Vegas Aces,Wintrust Arena,10000,4349.0,51.36,75,63
232,2001,2001-06-24,Washington Mystics,Indiana Fever,Entertainment & Sports Arena,4200,2122.0,-1.0,86,65
233,2001,2001-06-23,Minnesota Lynx,New York Liberty,Target Center,18000,9621.0,52.48,83,66
234,2001,2001-06-25,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,19000,10308.0,54.16,83,62
235,2001,2001-06-28,New York Liberty,Chicago Sky,Barclays Center,17000,9583.0,52.53,80,84
236,2001,2001-06-28,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,19000,10046.0,49.17,93,52
237,2001,2001-06-28,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,10000,4169.0,51.57,99,61
238,2001,2001-06-30,Golden State Valkyries,Washington Mystics,Chase Center,18000,9303.0,47.63,90,77
239,2001,2001-07-01,Phoenix Mercury,Washington Mystics,Footprint Center,14000,5490.0,43.34,47,91
240,2001,2001-07-02,Los Angeles Sparks,Golden State Valkyries,Crypto.com Arena,19000,12522.0,44.2,67,68
241,2001,2001-07-03,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,20000,7718.0,48.54,74,54
242,2001,2001-07-03,Golden State Valkyries,Indiana Fever,Chase Center,18000,4294.0,42.06,73,74
243,2001,2001-07-04,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,20000,7959.0,34.48,88,66
244,2001,2001-07-05,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,20000,10370.0,45.91,77,57
245,2001,2001-07-08,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,10000,5390.0,41.63,69,85
246,2001,2001-07-09,Phoenix Mercury,Dallas Wings,Footprint Center,14000,,48.53,79,64
247,2001,2001-07-09,Minnesota Lynx,Golden State Valkyries,Target Center,18000,6697.0,45.57,71,78
248,2001,2001-07-11,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,12000,7603.0,52.09,64,85
249,2001,2001-07-13,Minnesota Lynx,Connecticut Sun,Target Center,18000,4141.0,39.18,78,77
250,2001,2001-07-14,Washington Mystics,Chicago Sky,Entertainment & Sports Arena,4200,2413.0,31.31,75,70
251,2001,2001-07-13,Minnesota Lynx,Seattle Storm,Target Center,18000,6059.0,41.02,102,60
252,2001,2001-07-16,Connecticut Sun,New York Liberty,Mohegan Sun Arena,10000,2791.0,42.08,59,84
253,2001,2001-07-17,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,12000,6002.0,46.5,94,59
